MongoDB shell version: 3.2.8
connecting to: photometers
name,tamb,tsky,mag,tstamp,latitude,longitude
stars56,20.62,3.24,19.97,2017-10-28T05:57:58Z,37.81391,-25.56859
stars76,17.31,-5.81,12.52,2017-10-28T05:57:56Z,39.478898,-0.376524
stars18,9.98,-28.92,13.78,2017-10-28T05:57:53Z,40.037077,-1.001815
stars8,12.82,-6.61,15.53,2017-10-28T05:57:47Z,42.71167,-1.86509
stars11,16.57,-11.81,16.46,2017-10-28T05:57:47Z,36.87,-6.26
stars1,11.02,-15.5,16.5,2017-10-28T05:57:46Z,40.4246043,-3.560279
stars4,26.62,14.94,17.76,2017-10-28T05:57:44Z,28.6865,-17.7665
stars18,10.08,-28.74,13.82,2017-10-28T05:57:43Z,40.037077,-1.001815
stars70,24.05,3.09,20.79,2017-10-28T05:57:43Z,28.5258381,-14.0050689
stars83,8.19,6.61,8.96,2017-10-28T05:57:38Z,59.267231,18.137398
stars32,12.63,-14.06,16.78,2017-10-28T05:57:37Z,40.628752,-3.90066
stars79,24.2,15.04,20.96,2017-10-28T05:57:36Z,16.8640833,-24.86783333
stars71,15.82,-5.11,12.7,2017-10-28T05:57:35Z,43.5681472,1.327194444
stars52,13.14,-10.81,14.35,2017-10-28T05:57:35Z,36.87928471,-2.43834458
stars48,11.56,-15.19,16.4,2017-10-28T05:57:34Z,40.406135,-3.8385415
stars9,15.1,-14.31,16.93,2017-10-28T05:57:33Z,38.409226,-4.894376
stars35,7.35,-13.19,0,2017-10-28T05:57:33Z,45.93,13.91
stars18,10.14,-28.91,13.86,2017-10-28T05:57:33Z,40.037077,-1.001815
stars63,13.94,-11.46,20,2017-10-28T05:57:33Z,28.2983,-16.51048
stars47,11.68,-10.42,0,2017-10-28T05:57:32Z,45.40315,11.8845
stars2,10.65,-24.04,15.79,2017-10-28T05:57:32Z,41.0012989,-2.492408
stars90,24.95,12.68,18.34,2017-10-28T05:57:29Z,,
stars15,16.14,-10.47,17.23,2017-10-28T05:57:23Z,38.3149,-5.28355
stars18,10.22,-28.91,13.9,2017-10-28T05:57:23Z,40.037077,-1.001815
stars69,17.08,-11.43,19.93,2017-10-28T05:57:21Z,42.6106406,-8.3708311
stars1,11.05,-15.45,16.59,2017-10-28T05:57:16Z,40.4246043,-3.560279
stars4,26.6,14.95,17.74,2017-10-28T05:57:14Z,28.6865,-17.7665
stars19,20.6,-3.43,19.99,2017-10-28T05:57:13Z,32.223877,-110.767532
stars18,10.28,-29.06,13.94,2017-10-28T05:57:13Z,40.037077,-1.001815
stars7,16.02,8.12,14.32,2017-10-28T05:57:10Z,42.81732,-1.64543
stars62,10.42,-20.03,13.15,2017-10-28T05:57:09Z,42.024592,0.7347973
stars64,8.78,-8.28,0,2017-10-28T05:57:07Z,45.0510358,10.9197606
